instance,weight,satisfied_clauses,clauses,true_variables,variables,current_objective_history,best_objective_history
wuf20-0193.mwcnf,5078,60,71,19,21,[],[]
wuf20-0194.mwcnf,6464,64,71,19,21,[],[]
wuf20-0195.mwcnf,5688,60,71,18,21,[],[]
wuf20-0196.mwcnf,6082,64,71,19,21,[],[]
wuf20-0197.mwcnf,5718,61,71,19,21,[],[]
wuf20-0198.mwcnf,6173,59,71,18,21,[],[]
wuf20-0199.mwcnf,7259,60,71,19,21,[],[]
wuf20-02.mwcnf,4182,58,71,20,21,[],[]
wuf20-020.mwcnf,6571,64,71,19,21,[],[]
wuf20-0200.mwcnf,4771,56,71,19,21,[],[]
wuf20-0201.mwcnf,5919,62,71,20,21,[],[]
wuf20-0202.mwcnf,5573,61,71,19,21,[],[]
wuf20-0203.mwcnf,6364,60,71,18,21,[],[]
wuf20-0204.mwcnf,5260,62,71,19,21,[],[]
wuf20-0205.mwcnf,4627,58,71,19,21,[],[]
wuf20-0206.mwcnf,7519,68,71,18,21,[],[]
wuf20-0207.mwcnf,5302,55,71,18,21,[],[]
wuf20-0208.mwcnf,6656,61,71,18,21,[],[]
wuf20-0209.mwcnf,7739,62,71,19,21,[],[]
wuf20-021.mwcnf,6298,62,71,19,21,[],[]
wuf20-0210.mwcnf,4076,54,71,19,21,[],[]
wuf20-0211.mwcnf,6317,60,71,19,21,[],[]
wuf20-0212.mwcnf,6686,63,71,19,21,[],[]
wuf20-0213.mwcnf,5181,60,71,18,21,[],[]
wuf20-0214.mwcnf,6500,66,71,18,21,[],[]
wuf20-0215.mwcnf,6470,64,71,18,21,[],[]
wuf20-0216.mwcnf,4856,59,71,19,21,[],[]
wuf20-0217.mwcnf,6857,65,71,19,21,[],[]
wuf20-0218.mwcnf,5833,61,71,19,21,[],[]
wuf20-0219.mwcnf,5070,59,71,19,21,[],[]
wuf20-022.mwcnf,5002,60,71,18,21,[],[]
wuf20-0220.mwcnf,5042,59,71,19,21,[],[]
wuf20-0221.mwcnf,7545,67,71,20,21,[],[]
wuf20-0222.mwcnf,7733,65,71,19,21,[],[]
wuf20-0223.mwcnf,7540,64,71,20,21,[],[]
wuf20-0224.mwcnf,6464,65,71,19,21,[],[]
wuf20-0225.mwcnf,5228,61,71,19,21,[],[]
wuf20-0226.mwcnf,4809,63,71,18,21,[],[]
wuf20-0227.mwcnf,6512,61,71,19,21,[],[]
wuf20-0228.mwcnf,6485,64,71,20,21,[],[]
wuf20-0229.mwcnf,7781,64,71,19,21,[],[]
wuf20-023.mwcnf,6282,59,71,19,21,[],[]
